time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1721411601898860800,26.07586083984375,-0.5580089688301086,-0.0841052383184433,0.12557348608970642,0.8159555792808533,0.0030283306259661913,-0.30342212319374084,1.2001017332077026
1721411601916022800,26.093022705078123,-0.5578603148460388,-0.0841774120926857,0.12738226354122162,0.8157694935798645,0.005018215626478195,-0.30652520060539246,1.2003782987594604
1721411601933144000,26.11014404296875,-0.5588316321372986,-0.08239675313234329,0.12837576866149902,0.8151305317878723,0.009599119424819946,-0.306137353181839,1.2034366130828857
1721411601950314500,26.127314453125,-0.5602127909660339,-0.07907534390687943,0.12879960238933563,0.8144442439079285,0.016246287152171135,-0.30301398038864136,1.2075259685516357
1721411601967456300,26.144456298828125,-0.561272144317627,-0.0752369612455368,0.12870201468467712,0.8140938878059387,0.022991929203271866,-0.298417329788208,1.210668921470642
1721411601984598300,26.161598388671877,-0.5612285733222961,-0.07192941009998322,0.12827232480049133,0.8144904971122742,0.028013253584504128,-0.29390382766723633,1.2108314037322998
1721411602001742300,26.178742431640625,-0.5619695782661438,-0.07047352939844131,0.12740351259708405,0.8142431974411011,0.029678529128432274,-0.2907625436782837,1.2125475406646729
1721411602018893800,26.195893798828124,-0.5593643188476562,-0.07077530026435852,0.12654143571853638,0.816143274307251,0.027176134288311005,-0.2897683382034302,1.2056516408920288
1721411602036033500,26.213033447265627,-0.556373119354248,-0.0728343054652214,0.1257651001214981,0.8181242346763611,0.021682297810912132,-0.2909151613712311,1.1976110935211182
1721411602053190000,26.23018994140625,-0.5533955693244934,-0.07547235488891602,0.12531085312366486,0.8199723362922668,0.01558840274810791,-0.2932186424732208,1.1896578073501587
1721411602070327800,26.247327880859373,-0.5501745939254761,-0.07728558778762817,0.12528859078884125,0.8219717741012573,0.011297219432890415,-0.295280784368515,1.1813756227493286
1721411602087476500,26.2644765625,-0.547066330909729,-0.07774284482002258,0.12520034611225128,0.8240143060684204,0.00926558580249548,-0.2956845164299011,1.1735551357269287
